"Carleton Village Shore, NS, Canada","43,661584","-65,328253"
"Corso Italia Garage, Toronto, ON, Canada","43,676946","-79,444991"
"York, Toronto, ON, Canada","43,680189","-79,492232"
"Toronto, ON, Canada","43,702303","-79,357423"
"Brookhaven-Amesbury, Toronto, ON, Canada","43,701141","-79,485589"
"Park, MB, Canada","50,653439","-100,201088"
"Weston, Toronto, ON, Canada","43,702465","-79,515471"
"Fairbank, Toronto, ON, Canada","43,693114","-79,452349"
"Maple Leaf, Toronto, ON, Canada","43,715395","-79,480762"
"Mount Dennis, Toronto, ON, Canada","43,689015","-79,502298"
"Downsview, Toronto, ON, Canada","43,734119","-79,483284"
"Humber Summit, Toronto, ON, Canada","43,758716","-79,556174"
"Humbermede, Toronto, ON, Canada","43,743482","-79,537394"
"Jane and Finch, Toronto, ON, Canada","43,753105","-79,51445"
"York University Heights, Toronto, ON, Canada","43,767497","-79,489336"
"New Toronto, Toronto, ON, Canada","43,600846","-79,511589"
"Long Branch, Toronto, ON, Canada","43,593139","-79,533121"
"North Mimico, Toronto, ON, Canada","43,616121","-79,49458"
"Alderwood, Toronto, ON, Canada","43,605353","-79,541942"
"The Queensway, Toronto, ON, Canada","43,620303","-79,529681"
"The Kingsway, Toronto, ON, Canada","43,654064","-79,510577"
"Etobicoke, Toronto, ON, Canada","43,67061","-79,553568"
"Eringate-Centennial-West Deane, Toronto, ON, Canada","43,662385","-79,578625"
"Toronto, ON, Canada","43,64877","-79,38171"
"Humber Valley Village Junior Middle School, Toronto, ON, Canada","43,665359","-79,526941"
"Islington-City Centre West, Toronto, ON, Canada","43,634421","-79,540029"
"Markland Wood, Toronto, ON, Canada","43,632829","-79,574613"
"Toronto, ON, Canada","43,64877","-79,38171"
"Richview, Toronto, ON, Canada","43,686351","-79,552115"
"Humber Heights, Toronto, ON, Canada","43,69112","-79,522635"
"Rexdale Boulevard, Toronto, ON, Canada","43,720321","-79,612595"
"Toronto, ON, Canada","43,64877","-79,38171"
"Thistletown Collegiate Institute, Toronto, ON, Canada","43,728046","-79,56344"
"Toronto, ON, Canada","43,64877","-79,38171"
"The Elms, Toronto, ON, Canada","43,722454","-79,550179"
"Downtown Toronto, Toronto, ON, Canada","43,654652","-79,381164"
"Toronto, ON, Canada","43,64877","-79,38171"
